date,activity,category,minutes,effort,notes
2026-07-06,Science project,Science,40,1,tricky bits at the end
2026-07-06,Reading before bed,Reading,30,2,easier than last time
2026-07-07,Science project,Science,75,2,easier than last time
2026-07-07,Spelling practice,English,20,2,
2026-07-09,Times tables practice,Maths,15,1,
2026-07-09,Read novel,Reading,15,3,got stuck on question 4
2026-07-09,Recorder practice,Music,15,2,
2026-07-10,Science project,Science,50,1,
2026-07-14,Piano practice,Music,30,5,effort out of range
2026-07-10,Spelling practice,English,60,2,really did not feel like it
2026-07-11,Piano practice,Music,75,3,
2026-07-11,Art,Other,30,3,coach said good effort
2026-07-12,Read novel,Reading,30,1,tricky bits at the end
2026-07-13,Science project,Science,10,2,got stuck on question 4
2026-07-16,Maths homework,Maths,60,1,did it without being asked
2026-07-16,Piano practice,Music,20,1,
2026-07-18,Read novel,Reading,50,2,
2026-07-20,Maths homework,Maths,abc,2,minutes not a number
2026-07-19,Art,Other,90,3,easier than last time
2026-07-20,Spelling practice,English,50,2,
2026-07-21,Spelling practice,English,30,1,
2026-07-21,Maths worksheet,Maths,10,1,
2026-07-22,Science homework,Science,75,3,finished the whole chapter
2026-07-22,English essay draft,English,25,3,did it without being asked
2026-07-22,Times tables practice,Maths,45,2,
2026-07-23,Recorder practice,Music,30,2,
2026-07-27,Science homework,Mathematics,25,2,category not on the list
2026-07-23,Spelling practice,English,30,3,did it without being asked
2026-07-24,Recorder practice,Music,50,1,finished the whole chapter
2026-07-24,English essay draft,English,90,1,did it without being asked
2026-07-25,Coding club,Other,40,2,
2026-07-25,Walk the dog,Chores,60,2,
2026-07-25,Netball training,Sport,40,2,
2026-07-26,Walk the dog,Chores,90,2,
,Read novel,Reading,20,1,no date
2026-07-26,Read novel,Reading,90,3,
2026-07-26,Piano practice,Music,15,3,did it without being asked
2026-07-27,Piano practice,Music,90,2,
2026-07-28,Science homework,Science,60,2,
2026-07-29,Piano practice,Music,40,2,
2026-07-29,Book report,English,30,1,
2026-08-03,Bike ride,Sport,-30,2,negative minutes
2026-07-30,Reading before bed,Reading,30,1,
2026-07-30,Spelling practice,English,60,2,
2026-08-01,Art,Other,15,3,
2026-08-01,Dishes,Chores,30,1,
2026-08-02,Read novel,Reading,50,3,tricky bits at the end
2026-08-02,Tidy room,Chores,50,2,really did not feel like it
2026-08-06,,Chores,15,1,no activity name
2026-08-03,Spelling practice,English,10,3,
2026-08-03,Recorder practice,Music,50,2,got stuck on question 4
2026-08-04,Piano practice,Music,50,2,
07/08/2026,Walk the dog,Chores,20,1,day-first date
2026-08-04,Times tables practice,Maths,90,1,easier than last time
2026-08-04,Maths homework,Maths,45,2,long division
2026-08-04,Maths homework,Maths,40,3,kept going after dinner
2026-08-05,Reading before bed,Reading,25,3,
2026-08-05,Spelling practice,English,45,1,tricky bits at the end
2026-08-05,Times tables practice,Maths,40,3,really did not feel like it
2026-08-06,Science homework,Science,20,1,finished the whole chapter
2026-08-08,Art,Other,60,2,tricky bits at the end
2026-08-08,Recorder practice,Music,40,2,got stuck on question 4
2026-08-09,Tidy room,Chores,30,1,
2026-08-09,Piano practice,Music,75,3,coach said good effort
2026-08-10,Reading before bed,Reading,25,3,
2026-08-10,Book report,English,30,1,
2026-08-11,English essay draft,English,90,3,
2026-08-13,Read novel,Reading,60,3,tricky bits at the end
2026-08-14,Science homework,Science,15,2,finished the whole chapter
2026-08-14,English essay draft,English,40,2,finished the whole chapter
